SetCount,TermsCount,ErrorCount,Error,Width,Amptitude,Time
0,0,0,0,80,800,713.706
0,1,0,0,40,600,801.7754
0,2,0,0,120,800,651.636100000001
0,3,0,0,120,400,666.8339
0,4,0,0,80,400,583.0503
0,5,0,0,160,200,464.947399999999
0,6,0,0,120,600,598.6801
0,7,0,0,40,200,733.0532
0,8,0,0,160,800,650.592000000001
0,9,0,0,160,600,564.045899999999
0,10,0,0,80,200,448.196899999999
0,11,0,0,80,600,636.074500000002
0,12,0,0,120,200,449.510299999998
0,13,0,0,40,800,1029.7802
0,14,0,0,160,400,715.487799999999
0,15,0,0,40,400,1000.5282
1,0,0,0,160,400,467.164499999999
1,1,0,0,40,400,801.5465
1,2,0,0,40,600,1301.8651
1,3,0,1,40,200,668.582200000001
1,3,1,1,40,200,881.168299999998
1,3,2,0,40,200,782.268700000001
1,4,0,0,120,200,449.185299999997
1,5,0,0,80,200,566.945400000004
1,6,0,0,80,400,780.846000000005
1,7,0,0,120,800,799.291900000004
1,8,0,0,160,600,699.9882
1,9,0,0,160,200,449.604400000004
1,10,0,0,80,800,866.770700000001
1,11,0,0,120,600,632.562999999995
1,12,0,0,160,800,664.808299999997
1,13,0,0,120,400,847.568100000004
1,14,0,0,40,800,999.4611
1,15,0,0,80,600,680.371700000003
2,0,0,0,120,400,598.345600000001
2,1,0,0,120,600,617.424099999997
2,2,0,0,120,200,548.525500000003
2,3,0,1,80,400,665.671799999996
2,3,1,0,80,400,833.471399999995
2,4,0,0,40,600,918.5386
2,5,0,0,40,200,683.071500000005
2,6,0,0,160,400,481.186100000006
2,7,0,0,160,800,717.007799999999
2,8,0,0,80,200,567.032000000007
2,9,0,0,40,400,781.577700000009
2,10,0,0,80,800,780.895300000004
2,11,0,0,160,200,533.3321
2,12,0,0,160,600,565.545700000002
2,13,0,0,80,600,801.049299999999
2,14,0,0,120,800,682.335399999996
2,15,0,0,40,800,833.329000000012
3,0,0,0,80,200,584.437600000005
3,1,0,0,80,600,881.156000000003
3,2,0,0,40,200,680.570800000001
3,3,0,0,120,200,451.264999999999
3,4,0,0,120,800,851.00499999999
3,5,0,0,120,600,700.622499999998
3,6,0,0,80,800,615.246300000013
3,7,0,0,160,600,717.002399999998
3,8,0,0,160,800,600.079900000012
3,9,0,1,120,400,514.199199999988
3,9,1,0,120,400,584.877799999987
3,10,0,0,160,400,515.026100000003
3,11,0,0,40,400,798.1008
3,12,0,0,40,800,818.547099999996
3,13,0,0,40,600,815.837199999994
3,14,0,0,160,200,383.006900000008
3,15,0,0,80,400,585.328300000008
4,0,0,0,40,400,868.7647
4,1,0,0,40,200,782.43770000001
4,2,0,0,160,400,548.862099999998
4,3,0,0,160,600,651.746299999999
4,4,0,0,80,200,465.736599999989
4,5,0,0,120,800,733.623000000007
4,6,0,0,120,200,483.566500000001
4,7,0,0,40,600,915.194799999997
4,8,0,0,40,800,699.392500000002
4,9,0,0,120,400,582.682000000001
4,10,0,0,80,400,585.729999999996
4,11,0,0,80,600,582.587700000004
4,12,0,0,160,800,632.030800000008
4,13,0,0,160,200,466.141799999998
4,14,0,0,80,800,814.495699999999
4,15,0,1,120,600,782.256199999989
4,15,1,0,120,600,551.266300000003
5,0,0,0,120,200,434.450400000002
5,1,0,0,80,800,700.096900000004
5,2,0,0,120,400,668.13410000001
5,3,0,0,40,200,583.290600000008
5,4,0,0,80,400,733.86010000002
5,5,0,0,120,600,580.187299999991
5,6,0,0,40,600,885.760499999975
5,7,0,0,40,400,784.354099999997
5,8,0,0,80,600,714.804899999988
5,9,0,0,160,800,616.383399999992
5,10,0,0,80,200,515.095799999981
5,11,0,0,40,800,981.655100000004
5,12,0,0,120,800,701.824400000012
5,13,0,0,160,400,585.162199999992
5,14,0,0,160,200,384.717399999994
5,15,0,1,160,600,582.508000000002
5,15,1,0,160,600,534.418600000005
6,0,0,0,80,400,732.378200000006
6,1,0,0,40,600,865.445700000011
6,2,0,0,160,800,584.558999999979
6,3,0,0,120,600,566.932499999995
6,4,0,0,40,200,735.842199999985
6,5,0,1,40,800,734.926500000001
6,5,1,0,40,800,914.917199999996
6,6,0,0,120,800,599.550300000003
6,7,0,0,40,400,614.565700000006
6,8,0,0,160,200,332.738700000016
6,9,0,0,120,400,565.230199999991
6,10,0,0,80,800,684.3946
6,11,0,0,120,200,381.164199999999
6,12,0,0,160,400,599.640100000019
6,13,0,0,80,200,614.862300000008
6,14,0,0,160,600,600.527999999991
6,15,0,0,80,600,800.027999999991
7,0,0,0,80,400,566.260899999994
7,1,0,0,40,600,916.203099999984
7,2,0,0,120,200,466.790000000008
7,3,0,0,80,600,832.547099999996
7,4,0,0,120,800,848.126699999993
7,5,0,0,40,800,1181.91589999999
7,6,0,0,160,400,549.763600000006
7,7,0,0,160,600,616.61500000002
7,8,0,0,80,200,864.340100000001
7,9,0,0,40,200,799.91280000002
7,10,0,0,120,600,666.307700000005
7,11,0,0,80,800,732.220000000001
7,12,0,0,120,400,567.200500000006
7,13,0,0,40,400,833.176799999987
7,14,0,0,160,200,569.444600000017
7,15,0,0,160,800,650.687999999995
8,0,0,0,160,800,633.601200000005
8,1,0,0,80,600,681.785899999988
8,2,0,0,40,600,882.743000000017
8,3,0,0,120,400,534.018199999991
8,4,0,0,120,600,684.348299999983
8,5,0,0,80,200,768.468800000002
8,6,0,0,40,400,583.902700000006
8,7,0,0,40,200,766.012799999997
8,8,0,0,80,400,651.484000000026
8,9,0,0,120,200,433.559100000013
8,10,0,0,160,600,498.634600000019
8,11,0,0,40,800,817.09110000002
8,12,0,0,80,800,664.992199999979
8,13,0,0,160,200,550.26549999998
8,14,0,0,160,400,567.46650000001
8,15,0,0,120,800,833.42750000002
9,0,0,0,120,800,1248.18920000002
9,1,0,0,120,200,550.737499999988
9,2,0,0,160,400,665.969400000002
9,3,0,0,40,800,849.316899999976
9,4,0,0,80,600,699.724799999996
9,5,0,0,160,800,934.608200000017
9,6,0,1,80,200,633.419400000013
9,6,1,0,80,200,833.819799999997
9,7,0,0,160,200,435.022100000002
9,8,0,0,40,600,900.413700000005
9,9,0,0,40,200,745.708599999984
9,10,0,0,80,400,550.292699999991
9,11,0,0,80,800,650.754300000001
9,12,0,0,120,600,684.057699999976
9,13,0,0,120,400,633.175399999978
9,14,0,0,160,600,615.762400000007
9,15,0,0,40,400,832.363500000007